theme,record_type,video_id,title,creator,channel_id,url,views,thumbnail_description,video_description,comment_summary_description,fused_score,matched_signals,relevance,video_count,videos
gambling,creator,,,JordyStorm,UCxmFU73cNUBMdmAcFtusHMg,,,,,,,,0.044649999999999995,3,"[{""video_id"": ""jJ2aTuCudkg"", ""title"": ""€3000 CASINO LIVESTREAM!😈 18+"", ""url"": ""https://www.youtube.com/watch?v=jJ2aTuCudkg""}, {""video_id"": ""DGWWRFTfMMA"", ""title"": ""FORTNITE ARENA onderweg naar 30.000 PUNTEN!"", ""url"": ""https://www.youtube.com/watch?v=DGWWRFTfMMA""}, {""video_id"": ""VTLeZBRrNek"", ""title"": ""Kan Je Van €300 Naar €1000 gaan met MONOPOLY? **BIZAR DIT!!**"", ""url"": ""https://www.youtube.com/watch?v=VTLeZBRrNek""}]"
gambling,creator,,,Flamingo,UCm-X6o81nRsXQTmqpyArkBQ,,,,,,,,0.03132,2,"[{""video_id"": ""EfS1nhIWWbw"", ""title"": ""ROBLOX IS SCREWED"", ""url"": ""https://www.youtube.com/watch?v=EfS1nhIWWbw""}, {""video_id"": ""im_s0dAtOOU"", ""title"": ""Roblox BACK THEN to NOW is HORRIBLE"", ""url"": ""https://www.youtube.com/watch?v=im_s0dAtOOU""}]"
gambling,creator,,,Daily Dose Of Internet,UCdC0An4ZPNr_YiFiYoVbwaw,,,,,,,,0.01613,1,"[{""video_id"": ""gimPpwZ_nz4"", ""title"": ""A  Fish That Loves Air"", ""url"": ""https://www.youtube.com/watch?v=gimPpwZ_nz4""}]"
gambling,creator,,,Fiago,UCxFXLJd86JC7KstPffy9BCQ,,,,,,,,0.01562,1,"[{""video_id"": ""p3CwarIOCzk"", ""title"": ""Who Will Go To The UCL Semi-Final?"", ""url"": ""https://www.youtube.com/watch?v=p3CwarIOCzk""}]"
gambling,creator,,,Slotta,UCj1gY6Dm8VpEz9NKCCecF9Q,,,,,,,,0.01538,1,"[{""video_id"": ""9yLprg-qSHE"", ""title"": ""Carlos Bepaalt Mijn Dag Met €1000,-"", ""url"": ""https://www.youtube.com/watch?v=9yLprg-qSHE""}]"
gambling,creator,,,FaZe Rug,UCilwZiBBfI9X6yiZRzWty8Q,,,,,,,,0.01515,1,"[{""video_id"": ""NFUz4qJTei4"", ""title"": ""$250 VS $25,000 Dream Vacation! (BUDGET CHALLENGE)"", ""url"": ""https://www.youtube.com/watch?v=NFUz4qJTei4""}]"
gambling,creator,,,Walnut,UCk0ZtztoY8TwR4jb83vnyvw,,,,,,,,0.01471,1,"[{""video_id"": ""U-8EYmXOInY"", ""title"": ""De Sterkste Piraat In Contentveen (Minecraft Survival)"", ""url"": ""https://www.youtube.com/watch?v=U-8EYmXOInY""}]"
mental health,video,7wItNd5r2T8,MOCROMANIAC over zijn band met ROTJOCH,101Barz,UC0fXtHnZH6Gtl5AEmEGyBTA,https://www.youtube.com/watch?v=7wItNd5r2T8,53044,"The image features a young adult presenting as male, seated and wearing a dark padded jacket and gold chain necklaces. The background consists of horizontal and vertical striped patterns, likely created by alternating dark and light panels. Overlaid on the lower part of the image is white subtitle text reading '...en bust on the snitches.' The scene appears to be taken indoors under low lighting, contributing to a moody or serious atmosphere. The composition draws attention to the figure's clothing and jewelry, with the stripes enhancing visual contrast. The overall mood may suggest themes of secrecy, tension, or confrontation.",shorts #101barz.,"The comments reflect a lively discussion centered on appreciation for the video's music and performance, with several viewers asking about the background song and praising the quality of the session. There is a positive and supportive tone, including expressions of pride and encouragement. Some comments highlight cultural references and personal connections, such as using music as relief or referencing community traditions. Overall, sentiment is upbeat, showing both engagement with the content and camaraderie among viewers.",0.01639,"[""topic""]",,,
mental health,video,KjO2BjnacWs,🆕 SEFFELINIE is BACK!,101Barz,UC0fXtHnZH6Gtl5AEmEGyBTA,https://www.youtube.com/watch?v=KjO2BjnacWs,49839,"The image shows a young person presenting as male, speaking into a microphone in what appears to be a recording studio or radio booth. He is wearing a white Manchester United football jersey with black and blue accents and the 'Tezos' logo on the front. The background includes a wall with a black and grey striped pattern and partial signage. There is white text overlaid that reads, 'Of in een dronken bui', which is Dutch and translates to 'Or in a drunken mood'. The overall tone suggests a conversational or interview setting, possibly regarding personal experiences or behavior. The lighting is subdued, with focus on the person and the microphone.",shorts #101barz.,"The comments discuss the artist's current comeback attempt, with a mix of encouragement and criticism about his music quality and personal struggles, particularly around mental health. Viewers express both support and concern, referencing past hardships and the need for more self-confidence. There is considerable debate about whether the artist's recent work meets expectations, and observations about his public image and delivery. Overall, the sentiment is mixed but leans towards supportive, with many fans hoping for his recovery and future success.",0.01613,"[""topic""]",,,
mental health,video,sOcH0GjO9o4,Billie performing “ilomilo” at Reading &amp; Leeds.,Billie Eilish,UCiGm_E4ZwYSHV3bcW1pnSeQ,https://www.youtube.com/watch?v=sOcH0GjO9o4,921771,"The image depicts a person who appears to be a young adult, dressed in a yellow and maroon sports jersey with the number '5' partially visible. The individual has medium-length dark hair and is holding a microphone close to their mouth, suggesting that they may be singing or speaking. They are also wearing a blue wristband and a watch. The lighting is predominantly blue, giving the scene a dramatic and dynamic atmosphere. The angle of the photo is unusual, as the subject appears sideways or upside-down relative to the frame. The background is a bright, light blue, possibly a stage or event setting. The visual emphasis is on the person and the microphone, conveying potential emotions such as intensity, focus, or performance excitement.",,"The comments overwhelmingly express admiration and love for Billie Eilish, highlighting her talent, inspirational impact, and emotional connection with fans. Many viewers reminisce about their favorite songs and performances, share experiences of attending concerts, and express their wishes to see her live or interact with her. There is also notable discussion about her influence on mental health and personal struggles, as well as references to other artists like XXXTentacion. The general sentiment is highly positive, with a vibrant, diverse, and supportive fan community from around the world.",0.01587,"[""topic""]",,,
mental health,video,LoIFpARxcAw,PRODUCTIVE 2:00am School night routine🎱+ Mental Health talk ⋆౨ৎ˚⟡˖ ࣪,daiz,UCezoc3VgoN8yPJENDFElzOw,https://www.youtube.com/watch?v=LoIFpARxcAw,385465,"The thumbnail is divided into three sections, each showing daily activities tied to a university student's after-school routine. On the left, a young person appears to be studying at a desk with open notebooks, a laptop displaying messaging or research content, and various study materials visible. In the center, a person with long dark hair, wearing black headphones and a striped sweatshirt, is seen holding the headphones, possibly listening to music or a call. To the right, there is an assortment of packaged snacks or breads laid out on a bed or soft surface, next to a person wearing a blue checkered shirt. The background suggests a domestic environment, possibly a bedroom or study space. The overall color palette is soft and neutral, and white handwritten-style text overlays the image: 'uni student's after school routine.' The mood conveys productivity, comfort, and casualness.",Business inquiries: daiz@algebramedia.com ✿ instagram: daisychoiii https://www.instagram.com/daisychoiii/​​ ✿ pinterest: ...,"Commenters overwhelmingly express gratitude for Daisy's vlogs, highlighting how her content boosts motivation, comfort, and productivity, especially during stressful times like university midterms. Mental health, personal struggles, and the importance of honesty and relatability are recurring topics, with many fans thanking Daisy for being transparent about her experiences. There is a strong sense of community, international fan support, and admiration for her cozy, aesthetic vlog style. Overall sentiment is highly positive and appreciative, with viewers also discussing their own study routines, recommendations, and excitement for upcoming content such as the Bali trip.",0.01562,"[""topic""]",,,
mental health,video,ODKuYXzkwL4,AGENT 8008: YOUTUBER RONALD VERDEELT INKOMSTEN MUZIEK NIET EERLIJK | BOOS S09E16,BOOS,UCc0kHafEIzm6PiqyrsC5lyg,https://www.youtube.com/watch?v=ODKuYXzkwL4,813186,"The thumbnail features two people, both appearing to be young adults, standing opposite each other. The person on the left is wearing a white shirt and a dark cap, and the person on the right is wearing a black shirt. Both individuals have their faces obscured. The background is a solid blue color, with various graphic design elements. At the top center, large text reads 'BOOS' with a pink, smiley-face character replacing the letters 'O'. Below, there is white text in Dutch: 'ZE LATEN ME ALLEMAAL VALLEN' (They all let me down). At the bottom, the text 'AGENT8008' is displayed, with '8008' highlighted in green. The overall atmosphere suggests tension or confrontation, with possible themes of disappointment or exclusion.","Twee bevriende YouTubers die samen een nummer opnemen, wat kan daar nou misgaan? Blijkbaar toch een heleboel. In 2018 ...","The comments are primarily focused on a financial dispute over unpaid earnings between YouTubers Ronald and Derk, with many viewers emphasizing the importance of proper contracts and transparency. The management team, especially Miranda, is heavily criticized for poor handling, while opinions on Ronald's responsibility and personal qualities are divided—some sympathize with his stress and mental health, others fault him for failing to act. A strong secondary theme is the difficulty of mixing friendship and business, and there are frequent calls for better business practices in creative industries. Overall sentiment tilts empathetic towards both main parties, though some frustration and cynicism are evident.",0.01538,"[""topic""]",,,
mental health,video,uJWdQzOccaU,Creating A New Meta  - LIVE,Ninja,UCAW-NpUFkMyCNrvRSSGIvDQ,https://www.youtube.com/watch?v=uJWdQzOccaU,157187,"The thumbnail features a person with short, light-colored hair wearing over-ear headphones. The background is a digitally created scene of an icy floating island hovering in a blue and purple cosmic environment, suggestive of a fantasy or gaming context. In the top left corner, there is a red rectangle with the white word 'LIVE,' indicating a live broadcast or stream. The composition places significant focus on both the person and the floating island. The color palette is predominantly icy blue and purple, creating a sense of immersion and excitement often associated with gaming or fantasy worlds. The scene conveys anticipation and engagement.",developing the new fortnite meta Join this channel to get access to perks: ...,"Commenters discuss mental health, relating to Ninja's emotional experiences during his stream, and share personal stories about overcoming struggles. The debate around adopting versus buying dogs also features, with viewers offering opinions and anecdotes. Fans express appreciation for Ninja, highlight memorable gaming moments, and provide suggestions for future streams and collaborations. The overall sentiment is positive and supportive, with the community engaging actively and encouraging both the streamer and each other.",0.01515,"[""topic""]",,,
mental health,video,1ftpRWfmL7I,"Sneaking Into A Graduation &amp; Giving Away $10,000!!",FaZe Rug,UCilwZiBBfI9X6yiZRzWty8Q,https://www.youtube.com/watch?v=1ftpRWfmL7I,3255517,"The thumbnail is split into two scenes. On the left, an individual wearing a black graduation cap and gown is holding a large stack of cash bundles. The background is red, possibly a curtain, emphasizing the subject. On the right, a young person in a blue graduation gown and cap stands at a podium on a stage, addressing a large audience of similarly dressed people, suggesting a graduation ceremony. The lighting is bright on the right, with a spotlight effect highlighting the speaker. The visual focus alternates between the celebration of academic achievement and the presence of significant amounts of money. The mood conveys excitement and achievement, possibly hinting at financial reward related to education.","I snuck into my old high schools graduation, and ended up surprising students with $10000! SUBSCRIBE if you want ...","The comments are overwhelmingly positive, focusing on themes of graduation, motivation, and inspiration sparked by FaZe Rug's speech and presence at a school's ceremony. Viewers express appreciation for his generous acts, such as giving scholarships and promoting positive messages, and request more personal, authentic vlogs like this one. Many share their own milestones, emotional reactions, and gratitude for Rug’s influence on their lives, highlighting a strong sense of community and admiration for his humility and kindness. There are also numerous requests for more behind-the-scenes, nostalgic, and motivational content, reflecting a collective desire for continued authenticity and support.",0.01493,"[""topic""]",,,
mental health,video,vOWdJsYI9So,DEZE GOZER IS TOTAAL DE WEG KWIJT 😂,Koen,UCs_ihBlgu4Buvf8FN9sTXjg,https://www.youtube.com/watch?v=vOWdJsYI9So,750203,"The thumbnail features a young adult with light skin and blond hair, holding what appears to be a microphone. There is a red arrow overlay pointing to a reflection of the person in a mirror in the background. The reflection shows the same person, shirtless, in a bathroom or locker room setting with yellow tiles. The text 'HIGH LEVEL SELF TALK' appears prominently near the reflection, suggesting the theme is about self-motivation or positive internal dialogue. The background includes a bold red section on the left, drawing attention to the figure. The image uses high contrast, emphasizing the figures and the central message. Emotions suggested by the image may include confidence, introspection, or motivation.","Bedankt voor het kijken naar ""DEZE GOZER IS TOTAAL DE WEG KWIJT '! Gamespullen kopen? Dat wil je!! Ga naar ...","The comments section is dominated by mockery and humorous criticism directed at Stan, with many viewers calling his behavior and self-presentation 'cringe' or embarrassing. There is significant emphasis on his physical appearance, particularly his height and hairstyle, and frequent references to his mannerisms, self-talk, and perceived narcissism. While a minority express support or empathy (referencing the 'lion army'), others express concern over his mental health or criticize Koen for featuring or mocking him. Overall, the sentiment is largely negative and mocking, with high engagement around the video's entertainment value and calls for a sequel.",0.01471,"[""topic""]",,,
mental health,video,6pmlPTYQ70M,"STEPMOM MISTREATS Husband&#39;s Son, What Happens Next Is Shocking | Dhar Mann",Dhar Mann Studios,UC_hK9fOxyy_TM8FJGXIyG8Q,https://www.youtube.com/watch?v=6pmlPTYQ70M,8881947,"The thumbnail features a young person with medium-length brown hair, wearing a light-colored sweater, positioned against a visually nondescript, dark patterned background. Bold, contrasting text dominates the left side, reading 'STEPMOM MISTREATS HUSBAND'S SON,' with 'MISTREATS' highlighted in blue for emphasis. The lower left corner contains a logo and the name 'Dhar Mann.' The primary compositional focus is on the text, suggesting a dramatic or emotional theme related to family dynamics and potential mistreatment or conflict. The image uses stark contrast and frontal framing to evoke seriousness or concern.",Don't forget to SUBSCRIBE to my channel by clicking here ...,"The comments overwhelmingly discuss themes of parental and step-parental mistreatment, often relating them to personal experiences of neglect, abuse, and bullying. Many viewers highlight the importance of kindness, understanding that 'hurt people hurt people,' and stress the lasting impact of words and parental behavior on children's mental health. The video's message of redemption, forgiveness, and the powerful effects of compassion resonates deeply, with multiple users sharing how the story moved them or mirrored their own struggles. There is also notable engagement around pop culture references (Lexi and Brent), performances, and questions about realism, but overall sentiment leans emotional, empathetic, and grateful for the positive moral lesson.",0.01449,"[""topic""]",,,
mental health,video,Y4ahw4kvkog,Ice Spice x Central Cee Collab Confirmed?,Vogue,UCRXiA3h1no_PFkb1JCP0yMA,https://www.youtube.com/watch?v=Y4ahw4kvkog,432809,"The image shows a person with long straight orange hair, wearing a light pink top with a floral pattern on the shoulder. A prominent, large, and shiny silver necklace is visible around the person's neck. The background is dark, possibly an indoor setting with limited visible details apart from a blurred object that resembles a picture frame. The overall color scheme is dominated by the vibrant orange hair and the sparkling necklace, drawing viewer attention to the upper body and jewelry. The composition and attire suggest a focus on style or fashion.","Ice Spice reveals that she witnessed Central Cee write a verse in 30 seconds, as she reflects on working with the UK rapper and ...","The comments discuss Ice Spice's appearance, hair, and style, with many users expressing admiration and support for her while others criticize her lyrical skills and authenticity. There is significant excitement and speculation about a potential collaboration with Central Cee, with some fans enthusiastic and others skeptical about its impact on UK rap. Themes of mental health, particularly anxiety, are mentioned in relation to Ice Spice's behavior, along with broader cultural commentary on her role as a public figure. Overall, the sentiment in the comments is mixed but leans positive, with more supportive remarks than critical ones.",0.01429,"[""topic""]",,,
mental health,creator,,,101Barz,UC0fXtHnZH6Gtl5AEmEGyBTA,,,,,,,,0.03251999999999999,2,"[{""video_id"": ""7wItNd5r2T8"", ""title"": ""MOCROMANIAC over zijn band met ROTJOCH"", ""url"": ""https://www.youtube.com/watch?v=7wItNd5r2T8""}, {""video_id"": ""KjO2BjnacWs"", ""title"": ""🆕 SEFFELINIE is BACK!"", ""url"": ""https://www.youtube.com/watch?v=KjO2BjnacWs""}]"
mental health,creator,,,Billie Eilish,UCiGm_E4ZwYSHV3bcW1pnSeQ,,,,,,,,0.01587,1,"[{""video_id"": ""sOcH0GjO9o4"", ""title"": ""Billie performing “ilomilo” at Reading &amp; Leeds."", ""url"": ""https://www.youtube.com/watch?v=sOcH0GjO9o4""}]"
mental health,creator,,,daiz,UCezoc3VgoN8yPJENDFElzOw,,,,,,,,0.01562,1,"[{""video_id"": ""LoIFpARxcAw"", ""title"": ""PRODUCTIVE 2:00am School night routine🎱+ Mental Health talk ⋆౨ৎ˚⟡˖ ࣪"", ""url"": ""https://www.youtube.com/watch?v=LoIFpARxcAw""}]"
mental health,creator,,,BOOS,UCc0kHafEIzm6PiqyrsC5lyg,,,,,,,,0.01538,1,"[{""video_id"": ""ODKuYXzkwL4"", ""title"": ""AGENT 8008: YOUTUBER RONALD VERDEELT INKOMSTEN MUZIEK NIET EERLIJK | BOOS S09E16"", ""url"": ""https://www.youtube.com/watch?v=ODKuYXzkwL4""}]"
